timestamp,omega,khra_amp,gixx_amp,coherence,asymmetry,vorticity_mean,gpu_temp_c,gpu_power_w,cycle
2026-03-27T08:16:31.491861,1.2,0.02,0.008,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:16:34.495579,1.2,0.02,0.01,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:16:37.499632,1.2,0.02,0.012,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:16:40.503136,1.2,0.03,0.004,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:16:43.506500,1.2,0.03,0.006,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:16:46.509538,1.2,0.03,0.008,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:16:49.512744,1.2,0.03,0.01,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:16:52.516053,1.2,0.03,0.012,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:16:55.519478,1.2,0.04,0.004,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:16:58.615423,1.2,0.04,0.006,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:17:01.618616,1.2,0.04,0.008,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:17:04.622102,1.2,0.04,0.01,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:17:07.625580,1.2,0.04,0.012,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:17:10.629006,1.2,0.05,0.004,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:17:13.633919,1.2,0.05,0.006,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:17:16.637381,1.2,0.05,0.008,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:17:19.640430,1.2,0.05,0.01,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:17:22.643575,1.2,0.05,0.012,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:17:25.647045,1.3,0.01,0.004,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:17:28.723094,1.3,0.01,0.006,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:17:31.726403,1.3,0.01,0.008,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:17:34.729934,1.3,0.01,0.01,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:17:37.733599,1.3,0.01,0.012,0.7389,12.4651,0.02276,57,287.2,189980
2026-03-27T08:17:40.755939,1.3,0.02,0.004,0.738,12.6078,0.030318,54,282.1,190400
2026-03-27T08:17:43.785982,1.3,0.02,0.006,0.7389,12.495,0.032499,55,284.4,190810
2026-03-27T08:17:46.794697,1.3,0.02,0.008,0.7396,12.395,0.02465,55,285.7,191220
