sweep,parameter,value,coh_mean,coh_min,coh_max,asym_mean,vort_mean,vel_var_mean,stress_xx_mean,stress_yy_mean,stress_xy_mean,n_samples
1f,omega,1.983,0.684693,0.681800,0.686800,30.981891,0.029796,0.002482,-0.000495,0.000554,-0.000240,501
1f,omega,1.984,0.684450,0.680600,0.687000,31.047621,0.030660,0.002517,-0.000502,0.000561,-0.000242,501
1f,omega,1.984,0.684622,0.681600,0.686800,31.014729,0.029985,0.002490,-0.000492,0.000555,-0.000241,501
1f,omega,1.985,0.684335,0.679600,0.687000,31.089664,0.030924,0.002529,-0.000497,0.000569,-0.000251,501
1f,omega,1.985,0.684524,0.681300,0.686800,31.052972,0.030181,0.002499,-0.000491,0.000560,-0.000244,501
1f,omega,1.986,0.684180,0.678900,0.686800,31.139433,0.031208,0.002541,-0.000492,0.000578,-0.000259,501
1f,omega,1.986,0.684393,0.681000,0.686700,31.097802,0.030392,0.002507,-0.000492,0.000565,-0.000243,501
1f,omega,1.987,0.683962,0.679400,0.686700,31.201576,0.031517,0.002554,-0.000489,0.000583,-0.000269,501
1f,omega,1.987,0.684217,0.681000,0.686800,31.151648,0.030613,0.002517,-0.000498,0.000568,-0.000247,501
1f,omega,1.988,0.683698,0.680500,0.686600,31.272906,0.031846,0.002568,-0.000478,0.000596,-0.000278,501
1f,omega,1.988,0.683996,0.680700,0.686800,31.215052,0.030858,0.002527,-0.000497,0.000575,-0.000248,501
1f,omega,1.989,0.683454,0.679500,0.686500,31.339912,0.032177,0.002590,-0.000468,0.000606,-0.000282,501
1f,omega,1.989,0.683773,0.680500,0.686800,31.277998,0.031082,0.002543,-0.000494,0.000580,-0.000247,501
1f,omega,1.99,0.683557,0.679400,0.687200,31.337808,0.032469,0.002647,-0.000466,0.000592,-0.000267,501
1f,omega,1.99,0.683690,0.680800,0.685900,31.311733,0.031267,0.002592,-0.000499,0.000571,-0.000234,501
2,khra_amp,0.01,0.738813,0.710400,0.745700,22.439072,0.051611,0.004021,-0.000323,0.000347,-0.000092,501
2,khra_amp,0.01,0.726100,0.682900,0.745300,24.474167,0.045779,0.003637,-0.000373,0.000391,-0.000113,501
2,khra_amp,0.012,0.728405,0.706300,0.735000,23.863092,0.045377,0.003767,-0.000357,0.000387,-0.000095,501
2,khra_amp,0.012,0.718073,0.682800,0.733500,25.583116,0.041045,0.003444,-0.000401,0.000420,-0.000118,501
2,khra_amp,0.014,0.719560,0.696200,0.725600,25.165279,0.040793,0.003541,-0.000403,0.000416,-0.000107,501
2,khra_amp,0.014,0.711173,0.682300,0.723500,26.610105,0.037558,0.003270,-0.000428,0.000448,-0.000119,501
2,khra_amp,0.016,0.714187,0.694500,0.717700,26.003550,0.037819,0.003364,-0.000417,0.000416,-0.000105,501
2,khra_amp,0.016,0.707029,0.682200,0.717700,27.261270,0.035322,0.003137,-0.000442,0.000442,-0.000120,501
2,khra_amp,0.018,0.709361,0.696600,0.711700,26.787853,0.035417,0.003195,-0.000436,0.000440,-0.000113,501
2,khra_amp,0.018,0.703359,0.682400,0.711700,27.863504,0.033520,0.003009,-0.000454,0.000458,-0.000129,501
2,khra_amp,0.02,0.704204,0.691600,0.706100,27.661944,0.033338,0.003030,-0.000457,0.000465,-0.000126,501
2,khra_amp,0.02,0.699354,0.682100,0.705900,28.550274,0.031945,0.002883,-0.000470,0.000474,-0.000138,501
2,khra_amp,0.022,0.699235,0.692600,0.701100,28.539514,0.031690,0.002876,-0.000470,0.000482,-0.000138,501
2,khra_amp,0.022,0.695526,0.682200,0.700500,29.232430,0.030694,0.002766,-0.000484,0.000489,-0.000149,501
2,khra_amp,0.024,0.694550,0.690400,0.696400,29.395774,0.030333,0.002738,-0.000488,0.000494,-0.000151,501
2,khra_amp,0.024,0.691939,0.682000,0.695500,29.893575,0.029670,0.002662,-0.000496,0.000501,-0.000160,501
2,khra_amp,0.026,0.690667,0.688300,0.692200,30.131097,0.029257,0.002619,-0.000505,0.000505,-0.000164,501
2,khra_amp,0.026,0.688977,0.682200,0.691800,30.459236,0.028855,0.002571,-0.000508,0.000509,-0.000169,501
2,khra_amp,0.028,0.687424,0.685900,0.688700,30.767227,0.028441,0.002507,-0.000513,0.000515,-0.000179,501
2,khra_amp,0.028,0.686608,0.682300,0.688600,30.928026,0.028263,0.002485,-0.000514,0.000517,-0.000182,501
2,khra_amp,0.03,0.684070,0.682200,0.685500,31.440808,0.027708,0.002415,-0.000522,0.000523,-0.000189,501
2,khra_amp,0.03,0.684076,0.682200,0.685500,31.441921,0.027723,0.002416,-0.000521,0.000524,-0.000190,501
